Verified Product,Verified Brand,Category,My Brand,My Product,Matched Name
Vape Cartridge - STRAWNANA 1G Original THC Pod - STIIIZY,STIIIZY,"Cartridge, Vape Pens",FLAVORADE,FLAVORADE: PREFERRED GARDENS HELIUM CARTRIDGE INDICA 1G,Flavorade x Preferred Gardens | Helium | Vape Cart | 1g
Vape Cartridge - TAHOE OG 1G Live Resin Liquid Diamonds Pod - STIIIZY,STIIIZY,Flower,GOLD STANDARD,GOLD STANDARD: HEIR HEADS HYBRID 3.5G,GOLD STANDARD | HEIR HEADS | 3.5G
Vape Cartridge - WATERMELON Z 1G Original THC Pod - STIIIZY,STIIIZY,Flower,GOLD STANDARD,GOLD STANDARD: LEMON CHERRY SHERBET INDICA 3.5G,GOLD STANDARD | LEMON CHERRY SHERBERT | 3.5G
Vape Cartridge - WHITE WIDOW 1G Live Resin Liquid Diamonds Pod - STIIIZY,STIIIZY,"Gummies, Candy, Edibles",HEAVY HITTERS,HEAVY HITTERS: ATOMIC APPLE HYBRID 100MG 5 PACK,
- 3 KINGS OG - Live Resin,STIIIZY,"Gummies, Candy, Edibles",HEAVY HITTERS,HEAVY HITTERS: GREEN CRACK THCV SATIVA 100MG 5 PACK,
- ACAI BERRY - Live Resin Diamonds,STIIIZY,Infused Pre Roll,HEAVY HITTERS,HEAVY HITTERS: HARDCORE OG DIAMOND INFUSED INDICA 2.5G PREROLL 5 PACK,Hardcore OG - Diamond Infused Pre-Rolls | 2.5G 5-Pack
- ACAI BERRY - Live Rosin Badder,STIIIZY,"Gummies, Candy, Edibles",HEAVY HITTERS,HEAVY HITTERS: MIDNIGHT CHERRY THC:CBN INDICA 100MG 5 PACK,Midnight Cherry | Indica - Lights Out CBN Sleep Elixir
- ACAI BERRY GELATO - Live Rosin Jam,STIIIZY,"Cartridge, Vape Pens",HEAVY HITTERS,HEAVY HITTERS: SKYWALKER OG HYBRID 1G,Skywalker OG | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint
- ANIMAL MINTS - Live Resin,STIIIZY,"Gummies, Candy, Edibles",HEAVY HITTERS,HEAVY HITTERS: STRAWBERRY STORM SATIVA 100MG 5 PACK,Guava Strawberry | Sativa - Live Rosin Gummies 5-pack
- ANIMAL MINTZ - Live Resin Diamonds,STIIIZY,"Gummies, Candy, Edibles",HIGHATUS,HIGHATUS: BLUEBERRY 1:1:1 THC/CBN/CBD GUMMY INDICA 100MG 10 PACK,
- ANIMAL MINTZ - Live Rosin Badder,STIIIZY,"Chocolates, Candy, Edibles",HIGHATUS,HIGHATUS: CHOCOLATE FUDGE CHRON BONS INDICA 100MG 10 PACK,
- ANIMAL MINTZ - Live Rosin Jam,STIIIZY,"Gummies, Candy, Edibles",HIGHATUS,HIGHATUS: L'ORANGE GUMMY SATIVA 100MG 10 PACK,L'Orange Sour Gummy
- ANIMAL MINTZ X SFV - 3.5G White Label Mylar,STIIIZY,"Chocolates, Candy, Edibles",HIGHATUS,HIGHATUS: PEANUT BUTTER & JELLY CHRON BONS SATIVA 100MG 10 PACK,
- APPLE MINTZ - 7G Black Label Mylar,STIIIZY,"Gummies, Candy, Edibles",HIGHATUS,HIGHATUS: PINEAPPLE GUMMY HYBRID 100MG 10 PACK,Pineapple Sour Gummy
- APPLEBERRY KUSH - Live Rosin Badder,STIIIZY,"Chocolates, Candy, Edibles",HIGHATUS,HIGHATUS: S'MORES CHRON BONS INDICA 100MG 10 PACK,
- BANANA CREAM - Live Rosin Jam,STIIIZY,"Gummies, Candy, Edibles",HIGHATUS,HIGHATUS: WATERMELON GUMMY INDICA 100MG 10 PACK,Watermelon Sour Gummy
- BANANA CREAM CAKE - 3.5G Grey Label Mylar,STIIIZY,Flower,HOTBOX,HOTBOX: ASTRO BERRY SATIVA 1G,HOTBOX | Astro Berry Sativa Preroll (1g)
- BANANA MAC - Live Resin,STIIIZY,Flower,HOTBOX,HOTBOX: ASTROBERRY SATIVA 3.5G,HOTBOX | Astro Berry Sativa (3.5 g or 1/8th) Indoor Flower
